os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Celeron N5105 @ 2.00GHz,Intel(R) UHD Graphics (JSL),7953488,6.18.16-100.fc42.x86_64,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
77.8689,12.8421,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1031039145
23.734,42.1336,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1073172904
235.864,4.23973,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1077414432
189.238,5.28436,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1082700657
163.81,6.10462,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1088806496
272.625,3.66805,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1092476741
150.859,6.62871,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1099107486
71.1924,14.0464,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1113156029
80.46,12.4285,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1125586199
73.2977,13.643,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1139230498
78.0939,12.8051,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1152038444
62.168,16.0854,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1168125537
51.7943,19.3072,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1187434885
187.803,5.32473,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1192772204
72.4781,13.7973,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1206561020
76.107,13.1394,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1219702161
75.7627,13.1991,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1232902704
65.7297,15.2138,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1248118317
84.36,11.854,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1259975024
77.6674,12.8754,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1272851233
77.46,12.9099,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1285763191
71.8727,13.9135,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1299678479
58.0773,17.2184,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1316899378
60.9333,16.4114,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1333312660
114.893,8.70376,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1342017757
35.0218,28.5536,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1370574064
205.363,4.86944,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1375445335
137.278,7.28448,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1382732165
94.4973,10.5823,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1393315991
61.8512,16.1678,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1409485299
60.6385,16.4912,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1425978882
114.149,8.7605,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1434740603
59.5143,16.8027,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1451545128
94.1466,10.6217,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1462169025
76.9629,12.9933,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1475164003
88.8464,11.2554,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1486421014
73.1157,13.6769,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1500099912
60.7951,16.4487,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1516552364
62.8074,15.9217,92.3077,0,0,65,0,200,0,0,0,6.76099,3.30964,2.42015,2800,1532485295
88.3699,11.3161,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1543792697
97.95,10.2093,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1554007048
81.013,12.3437,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1566350435
73.5955,13.5878,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1579939516
54.664,18.2936,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1598235530
105.594,9.47025,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1607708146
65.8897,15.1769,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1622897501
41.9932,23.8134,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1646702482
299.056,3.34386,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1650047570
98.0695,10.1968,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1660246417
72.261,13.8387,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1674092760
76.6129,13.0526,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1687143392
77.6376,12.8804,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1700025512
74.7312,13.3813,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1713408126
71.4277,14.0002,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1727410784
59.9903,16.6694,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1744082692
105.116,9.51332,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1753597176
62.5602,15.9846,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1769583744
87.9368,11.3718,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1780957532
67.8555,14.7372,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1795696229
74.1912,13.4787,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1809176922
69.4145,14.4062,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1823596737
87.2768,11.4578,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1835050853
77.6263,12.8822,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1847934897
71.3494,14.0155,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1861954481
77.1344,12.9644,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1874918874
67.7727,14.7552,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1889686159
81.3039,12.2995,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1901987937
34.1425,29.289,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1931279810
96.1148,10.4042,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1941685940
204.461,4.89092,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1946578165
87.8414,11.3842,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1957963642
64.3754,15.5339,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1973499621
52.8359,18.9265,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,1992429954
80.5549,12.4139,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,2004846231
132.114,7.5692,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,2012417470
101.601,9.84246,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,2022261262
47.0841,21.2386,74,0,34,65,0,200,0,0,0,6.84114,3.30845,2.42966,2800,2043521099
69.8474,14.3169,85.6436,0,25,70,0,200,0,0,0,6.96453,3.33501,2.43717,2800,2057822244
137.753,7.25937,85.6436,0,25,70,0,200,0,0,0,6.96453,3.33501,2.43717,2800,2065082831
44.0703,22.691,85.6436,0,25,70,0,200,0,0,0,6.96453,3.33501,2.43717,2800,2087775817
77.7616,12.8598,85.6436,0,25,70,0,200,0,0,0,6.96453,3.33501,2.43717,2800,2100639560
93.2034,10.7292,85.6436,0,25,70,0,200,0,0,0,6.96453,3.33501,2.43717,2800,2111369700
104.424,9.57631,85.6436,0,25,70,0,200,0,0,0,6.96453,3.33501,2.43717,2800,2120949398
