os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Celeron N5105 @ 2.00GHz,Mesa Intel UHD Graphics ,7953488,6.18.16-100.fc42.x86_64,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
74.4869,13.4252,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,76538429
72.0407,13.881,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,90421054
53.5816,18.6631,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,109084639
194.54,5.14033,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,114225388
75.5285,13.24,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,127466542
79.9594,12.5063,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,139973290
79.2663,12.6157,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,152590141
71.5499,13.9763,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,166567388
43.1763,23.1608,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,189728693
30.6682,32.607,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,222338201
150.335,6.65181,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,228990779
177.585,5.63112,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,234622008
82.0618,12.1859,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,246809292
79.2443,12.6192,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,259429396
75.4756,13.2493,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,272679453
73.6244,13.5824,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,286262740
73.5102,13.6036,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,299866894
74.9266,13.3464,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,313214384
75.1879,13.3,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,326515133
68.9155,14.5105,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,341026179
74.3916,13.4424,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,354469271
70.6327,14.1578,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,368628029
40.4102,24.7462,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,393375776
76.4933,13.073,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,406449660
76.2844,13.1088,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,419559034
72.8179,13.7329,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,433293133
77.6615,12.8764,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,446170729
68.8271,14.5292,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,460700976
74.377,13.445,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,474146252
90.1373,11.0942,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,485241255
68.2496,14.6521,72.2222,0,0,64,0,200,0,0,0,4.1445,3.43323e-05,0.31303,2800,499900533
75.1005,13.3155,70.202,0,22,64,0,300,0,0,0,4.32884,0.00414276,0.337711,2800,513210355
76.5214,13.0682,70.202,0,22,64,0,300,0,0,0,4.32884,0.00414276,0.337711,2800,526279612
66.3753,15.0658,70.202,0,22,64,0,300,0,0,0,4.32884,0.00414276,0.337711,2800,541346167
86.2294,11.597,70.202,0,22,64,0,300,0,0,0,4.32884,0.00414276,0.337711,2800,552944132
78.509,12.7374,70.202,0,22,64,0,300,0,0,0,4.32884,0.00414276,0.337711,2800,565682369
64.3426,15.5418,70.202,0,22,64,0,300,0,0,0,4.32884,0.00414276,0.337711,2800,581225022
82.9445,12.0563,70.202,0,22,64,0,300,0,0,0,4.32884,0.00414276,0.337711,2800,593281973
75.4428,13.2551,70.202,0,22,64,0,300,0,0,0,4.32884,0.00414276,0.337711,2800,606537765
29.2391,34.2008,70.202,0,22,64,0,300,0,0,0,4.32884,0.00414276,0.337711,2800,640739315
742.195,1.34735,70.202,0,22,64,0,300,0,0,0,4.32884,0.00414276,0.337711,2800,642088540
191.182,5.23062,70.202,0,22,64,0,300,0,0,0,4.32884,0.00414276,0.337711,2800,647319545
