os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Celeron N5105 @ 2.00GHz,Intel(R) UHD Graphics (JSL),7953488,6.18.16-100.fc42.x86_64,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
172.068,5.81167,72.0739,0,0,70,0,200,0,0,0,4.72505,1.54358,1.16337,2800,2468882843
90.7034,11.0249,72.0739,0,0,70,0,200,0,0,0,4.72505,1.54358,1.16337,2800,2479907931
6.95866,143.706,72.0739,0,0,70,0,200,0,0,0,4.72505,1.54358,1.16337,2800,2623615753
18.7198,53.4193,72.0739,0,0,70,0,200,0,0,0,4.72505,1.54358,1.16337,2800,2677037240
65.9805,15.156,72.0739,0,0,70,0,200,0,0,0,4.72505,1.54358,1.16337,2800,2692197423
86.308,11.5864,72.0739,0,0,70,0,200,0,0,0,4.72505,1.54358,1.16337,2800,2703785491
18.6847,53.5197,72.0739,0,0,70,0,200,0,0,0,4.72505,1.54358,1.16337,2800,2757308702
18.3668,54.446,72.0739,0,0,70,0,200,0,0,0,4.72505,1.54358,1.16337,2800,2811755984
10.6137,94.2174,72.0739,0,0,70,0,200,0,0,0,4.72505,1.54358,1.16337,2800,2905975804
77.8982,12.8373,72.0739,0,0,70,0,200,0,0,0,4.72505,1.54358,1.16337,2800,2918814355
18.629,53.6796,72.0739,0,0,70,0,200,0,0,0,4.72505,1.54358,1.16337,2800,2972501779
25.1509,39.76,59.2965,0,0,70,0,800,0,0,0,4.76051,1.54357,1.18009,2800,3012259004
19.0603,52.4652,59.2965,0,0,70,0,800,0,0,0,4.76051,1.54357,1.18009,2800,3064725683
24.4978,40.8199,59.2965,0,0,70,0,800,0,0,0,4.76051,1.54357,1.18009,2800,3105547429
18.9588,52.746,59.2965,0,0,70,0,800,0,0,0,4.76051,1.54357,1.18009,2800,3158295833
25.1084,39.8274,59.2965,0,0,70,0,800,0,0,0,4.76051,1.54357,1.18009,2800,3198125838
18.3718,54.4313,59.2965,0,0,70,0,800,0,0,0,4.76051,1.54357,1.18009,2800,3252559445
25.5678,39.1118,59.2965,0,0,70,0,800,0,0,0,4.76051,1.54357,1.18009,2800,3291673112
18.1446,55.1127,59.2965,0,0,70,0,800,0,0,0,4.76051,1.54357,1.18009,2800,3346787947
24.5676,40.704,59.2965,0,0,70,0,800,0,0,0,4.76051,1.54357,1.18009,2800,3387494380
23.1975,43.108,59.2965,0,0,70,0,800,0,0,0,4.76051,1.54357,1.18009,2800,3430614055
20.769,48.1487,59.2965,0,0,70,0,800,0,0,0,4.76051,1.54357,1.18009,2800,3478768513
23.2095,43.0858,50,0,0,71,0,800,0,0,0,4.78704,1.54357,1.20305,2800,3521842948
19.889,50.2789,50,0,0,71,0,800,0,0,0,4.78704,1.54357,1.20305,2800,3572123822
18.4766,54.1224,50,0,0,71,0,800,0,0,0,4.78704,1.54357,1.20305,2800,3626251507
25.5506,39.1381,50,0,0,71,0,800,0,0,0,4.78704,1.54357,1.20305,2800,3665389794
23.6871,42.2171,50,0,0,71,0,800,0,0,0,4.78704,1.54357,1.20305,2800,3707609113
19.4871,51.316,50,0,0,71,0,800,0,0,0,4.78704,1.54357,1.20305,2800,3758928080
24.9562,40.0702,50,0,0,71,0,800,0,0,0,4.78704,1.54357,1.20305,2800,3799000160
18.4198,54.2895,50,0,0,71,0,800,0,0,0,4.78704,1.54357,1.20305,2800,3853291417
25.5141,39.194,50,0,0,71,0,800,0,0,0,4.78704,1.54357,1.20305,2800,3892487806
18.6535,53.6092,50,0,0,71,0,800,0,0,0,4.78704,1.54357,1.20305,2800,3946101339
24.4698,40.8668,50,0,0,71,0,800,0,0,0,4.78704,1.54357,1.20305,2800,3986978655
15.7462,63.5074,53.7688,0,0,71,0,800,0,0,0,4.78934,1.54357,1.22461,2800,4050478531
37.3888,26.746,53.7688,0,0,71,0,800,0,0,0,4.78934,1.54357,1.22461,2800,4077226541
15.7309,63.569,53.7688,0,0,71,0,800,0,0,0,4.78934,1.54357,1.22461,2800,4140798003
18.411,54.3153,53.7688,0,0,71,0,800,0,0,0,4.78934,1.54357,1.22461,2800,4195115129
16.5973,60.2506,53.7688,0,0,71,0,800,0,0,0,4.78934,1.54357,1.22461,2800,4255370640
17.2873,57.846,53.7688,0,0,71,0,800,0,0,0,4.78934,1.54357,1.22461,2800,4313216919
12.219,81.84,53.7688,0,0,71,0,800,0,0,0,4.78934,1.54357,1.22461,2800,4395059235
14.6628,68.2,53.7688,0,0,71,0,800,0,0,0,4.78934,1.54357,1.22461,2800,4463261153
15.2389,65.6216,53.7688,0,0,71,0,800,0,0,0,4.78934,1.54357,1.22461,2800,4528897358
16.3291,61.2402,85.1163,0,0,69,0,800,0,0,0,5.12878,1.54357,1.3838,2800,4590129337
15.5075,64.4848,85.1163,0,0,69,0,800,0,0,0,5.12878,1.54357,1.3838,2800,4654615205
12.1377,82.3881,85.1163,0,0,69,0,800,0,0,0,5.12878,1.54357,1.3838,2800,4737007226
17.2558,57.9515,85.1163,0,0,69,0,800,0,0,0,5.12878,1.54357,1.3838,2800,4794960563
20.6381,48.454,85.1163,0,0,69,0,800,0,0,0,5.12878,1.54357,1.3838,2800,4843416556
19.6013,51.0171,85.1163,0,0,69,0,800,0,0,0,5.12878,1.54357,1.3838,2800,4894435559
18.5404,53.9363,85.1163,0,0,69,0,800,0,0,0,5.12878,1.54357,1.3838,2800,4948374020
25.0344,39.945,85.1163,0,0,69,0,800,0,0,0,5.12878,1.54357,1.3838,2800,4988320980
18.9163,52.8643,85.1163,0,0,69,0,800,0,0,0,5.12878,1.54357,1.3838,2800,5041196798
23.3424,42.8405,82.0896,0,0,69,0,200,0,0,0,5.09009,1.54357,1.34116,2800,5084029165
21.5258,46.4559,82.0896,0,0,69,0,200,0,0,0,5.09009,1.54357,1.34116,2800,5130488004
22.4614,44.5209,82.0896,0,0,69,0,200,0,0,0,5.09009,1.54357,1.34116,2800,5175011312
18.4272,54.2677,82.0896,0,0,69,0,200,0,0,0,5.09009,1.54357,1.34116,2800,5229281739
25.285,39.5492,82.0896,0,0,69,0,200,0,0,0,5.09009,1.54357,1.34116,2800,5268832054
23.7745,42.062,82.0896,0,0,69,0,200,0,0,0,5.09009,1.54357,1.34116,2800,5310896234
19.8241,50.4438,82.0896,0,0,69,0,200,0,0,0,5.09009,1.54357,1.34116,2800,5361341940
23.1101,43.2712,82.0896,0,0,69,0,200,0,0,0,5.09009,1.54357,1.34116,2800,5404614864
19.1371,52.2545,82.0896,0,0,69,0,200,0,0,0,5.09009,1.54357,1.34116,2800,5456871645
25.7895,38.7755,82.0896,0,0,69,0,200,0,0,0,5.09009,1.54357,1.34116,2800,5495650043
18.8751,52.9799,82.0896,0,0,69,0,200,0,0,0,5.09009,1.54357,1.34116,2800,5548641012
24.307,41.1405,89.4472,0,0,74,0,800,0,0,0,5.21127,1.54357,1.47853,2800,5589773483
18.7745,53.2638,89.4472,0,0,74,0,800,0,0,0,5.21127,1.54357,1.47853,2800,5643040221
24.0094,41.6503,89.4472,0,0,74,0,800,0,0,0,5.21127,1.54357,1.47853,2800,5684692733
19.211,52.0536,89.4472,0,0,74,0,800,0,0,0,5.21127,1.54357,1.47853,2800,5736748237
23.8271,41.969,89.4472,0,0,74,0,800,0,0,0,5.21127,1.54357,1.47853,2800,5778720130
19.9908,50.023,89.4472,0,0,74,0,800,0,0,0,5.21127,1.54357,1.47853,2800,5828745362
18.4523,54.1938,89.4472,0,0,74,0,800,0,0,0,5.21127,1.54357,1.47853,2800,5882941209
24.511,40.7981,89.4472,0,0,74,0,800,0,0,0,5.21127,1.54357,1.47853,2800,5923740892
19.0911,52.3803,89.4472,0,0,74,0,800,0,0,0,5.21127,1.54357,1.47853,2800,5976123538
15.4432,64.7534,89.4472,0,0,74,0,800,0,0,0,5.21127,1.54357,1.47853,2800,6040879045
