os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),Intel Celeron N5105 @ 2.00GHz,Intel(R) UHD Graphics (JSL),7953488,6.18.16-100.fc42.x86_64,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
36.8287,27.1527,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,60005143
36.6472,27.2872,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,87297962
33.5988,29.7629,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,117069181
26.4914,37.7481,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,154808051
35.6634,28.0399,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,183127114
25.9485,38.5378,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,221398836
32.3262,30.9347,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,252336178
91.4477,10.9352,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,263292371
36.5194,27.3827,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,290665009
28.8321,34.6836,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,325360268
28.2636,35.3812,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,360755052
41.3149,24.2043,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,384978120
28.81,34.7102,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,419676715
60.7958,16.4485,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,436141242
33.0405,30.2659,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,466399812
4.00472,249.705,54.0166,0,0,60,0,200,0,0,0,3.93676,1.56454,0.676601,2800,716116879
38.158,26.2068,73.1183,0,0,60,0,750,0,0,0,3.84731,1.56454,0.683704,2800,742334953
36.8239,27.1563,73.1183,0,0,60,0,750,0,0,0,3.84731,1.56454,0.683704,2800,769482350
22.9983,43.4815,73.1183,0,0,60,0,750,0,0,0,3.84731,1.56454,0.683704,2800,812986541
44.3126,22.567,73.1183,0,0,60,0,750,0,0,0,3.84731,1.56454,0.683704,2800,835567846
35.6944,28.0156,73.1183,0,0,60,0,750,0,0,0,3.84731,1.56454,0.683704,2800,863587360
32.4321,30.8336,73.1183,0,0,60,0,750,0,0,0,3.84731,1.56454,0.683704,2800,894420541
56.9878,17.5476,73.1183,0,0,60,0,750,0,0,0,3.84731,1.56454,0.683704,2800,911971435
35.3048,28.3248,73.1183,0,0,60,0,750,0,0,0,3.84731,1.56454,0.683704,2800,940294874
23.0453,43.3929,73.1183,0,0,60,0,750,0,0,0,3.84731,1.56454,0.683704,2800,983689872
