os,cpu,gpu,ram,kernel,driver,cpuscheduler
Fedora Linux 42 (KDE Plasma Desktop Edition),Intel Celeron N5105 @ 2.00GHz,Mesa Intel UHD Graphics ,7952900,6.19.6-100.fc42.x86_64,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
71.2019,14.0446,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,35528945
67.1905,14.8831,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,50412989
41.5613,24.0608,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,74477916
115.709,8.6424,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,83119970
43.8176,22.8219,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,105945641
126.88,7.88144,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,113825362
46.0362,21.722,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,135552146
59.6688,16.7592,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,152312601
64.2685,15.5597,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,167873798
63.8176,15.6697,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,183544841
63.6474,15.7116,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,199257798
39.9957,25.0027,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,224262727
119.959,8.33618,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,232598786
44.9706,22.2368,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,254837961
153.606,6.51017,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,261345624
34.5763,28.9215,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,290272840
110.715,9.03221,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,299306055
43.4059,23.0383,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,322346850
57.4956,17.3926,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,339740695
130.342,7.67214,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,347411827
46.9374,21.305,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,368721107
60.0828,16.6437,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,385366282
59.8778,16.7007,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,402068694
61.8222,16.1754,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,418245179
60.9497,16.407,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,434653712
117.926,8.47991,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,443131100
47.3419,21.123,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,464259083
41.3492,24.1842,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,488445205
114.733,8.71592,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,497160696
43.4623,23.0085,20.5,0,8,45,0,200,0,0,0,2.48702,0,0.182568,1949,520182283
59.1877,16.8954,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,537068873
52.7583,18.9543,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,556026344
113.849,8.78353,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,564809684
44.8996,22.2719,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,587084236
65.6226,15.2387,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,602321728
77.0506,12.9785,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,615299027
48.9446,20.4313,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,635735816
69.5242,14.3835,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,650119112
44.4222,22.5112,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,672634176
137.206,7.28829,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,679919284
49.1089,20.3629,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,700284616
72.0893,13.8717,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,714158795
44.7366,22.353,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,736513404
68.9399,14.5054,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,751019132
70.9953,14.0854,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,765105066
46.6336,21.4438,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,786552724
172.783,5.78762,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,792338206
33.4675,29.8797,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,822223280
137.445,7.27562,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,829497933
47.4049,21.0949,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,850594555
48.7901,20.496,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,871090824
151.09,6.61855,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,877711295
33.8853,29.5113,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,907226502
162.446,6.15588,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,913381189
49.8223,20.0713,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,933454719
73.2602,13.65,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,947104731
47.3883,21.1023,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,968209918
174.04,5.74579,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,973953279
35.6154,28.0777,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,1002035337
43.2968,23.0964,19.0244,0,7,45,0,200,0,0,0,2.48732,0,0.182571,831,1025147164
138.149,7.23854,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1032371858
48.0952,20.7921,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1053166946
175.566,5.69585,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1058860965
35.2595,28.3612,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1087228274
125.165,7.98942,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1095215775
46.6818,21.4216,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1116660532
42.0869,23.7604,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1140404231
113.329,8.82388,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1149227502
45.5169,21.9698,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1171201057
107.953,9.2633,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1180465021
43.0206,23.2447,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1203711792
132.352,7.55559,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1211265515
47.2544,21.1621,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1232432151
60.033,16.6575,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1249091650
65.6153,15.2403,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1264329953
47.5411,21.0344,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1285369109
63.6026,15.7226,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1301091844
68.4432,14.6106,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1315704589
67.3994,14.8369,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1330541088
44.1003,22.6756,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1353221039
138.579,7.21608,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1360434471
47.8248,20.9097,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1381347529
44.1312,22.6597,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1404010644
132.831,7.52834,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1411537412
33.7563,29.6241,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1441165885
99.5675,10.0434,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1451208720
70.4118,14.2022,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1465410871
73.8375,13.5432,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1478959287
39.9332,25.0418,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1504003148
135.077,7.40318,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1511404884
48.0628,20.8061,19.0955,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1101,1532223116
45.9723,21.7522,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1553966745
109.28,9.15081,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1563117671
45.9795,21.7488,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1584865701
83.787,11.935,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1596801739
47.8311,20.9069,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1617714833
106.33,9.40466,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1627119783
43.7402,22.8622,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1649984467
41.4687,24.1146,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1674100265
113.08,8.84326,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1682941231
45.0127,22.2159,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1705163097
145.918,6.85316,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1712013852
48.9873,20.4135,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1732430325
72.5864,13.7767,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1746206645
45.4421,22.006,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1768217791
129.798,7.70428,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1775920143
47.7015,20.9637,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1796887237
42.2264,23.6819,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1820571624
142.261,7.02933,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1827597459
34.5123,28.9752,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1856578787
119.673,8.35613,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1864944386
46.7474,21.3916,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1886329587
129.934,7.69623,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1894022183
47.6016,21.0077,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1915034801
41.1796,24.2839,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1939321988
129.444,7.72536,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1947045799
46.1968,21.6465,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1968695783
65.0815,15.3653,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1984061390
68.7502,14.5454,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,1998607567
71.8579,13.9164,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,2012523946
46.1523,21.6674,17.4129,0,7,45,0,200,0,0,0,2.48689,0,0.182575,1040,2034206724
126.918,7.87911,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2042072499
47.7234,20.9541,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2063030559
43.2438,23.1247,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2086157861
62.7989,15.9238,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2102083964
64.2169,15.5722,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2117654775
69.9961,14.2865,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2131941287
44.3721,22.5367,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2154483303
125.151,7.99035,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2162471763
46.8412,21.3487,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2183823740
43.8014,22.8303,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2206656862
126.485,7.90608,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2214561449
46.6476,21.4373,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2236003116
134.608,7.42899,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2243429479
33.8388,29.5519,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2272986874
116.547,8.58021,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2281564410
46.3518,21.5741,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2303143877
137.448,7.2755,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2310416928
47.4186,21.0888,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2331509932
42.3133,23.6332,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2355145566
149.804,6.67538,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2361850224
45.5814,21.9388,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2383762792
64.7074,15.4542,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2399215679
44.7024,22.3701,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2421589892
118.703,8.4244,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2430012991
45.8661,21.8026,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2451819760
62.3242,16.0451,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2467865473
64.3579,15.5381,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2483404209
43.5904,22.9408,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2506348594
129.46,7.72437,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2514070634
47.5193,21.0441,16.6667,0,7,44,0,250,0,0,0,2.48536,0,0.182575,1600,2535127166
69.5004,14.3884,17.5879,0,8,44,0,200,0,0,0,2.4856,0,0.182575,1752,2549507894
69.0643,14.4793,17.5879,0,8,44,0,200,0,0,0,2.4856,0,0.182575,1752,2563988913
69.2699,14.4363,17.5879,0,8,44,0,200,0,0,0,2.4856,0,0.182575,1752,2578424904
44.8677,22.2877,17.5879,0,8,44,0,200,0,0,0,2.4856,0,0.182575,1752,2600716280
42.3568,23.609,17.5879,0,8,44,0,200,0,0,0,2.4856,0,0.182575,1752,2624328109
115.902,8.62796,17.5879,0,8,44,0,200,0,0,0,2.4856,0,0.182575,1752,2632953156
47.1206,21.2221,17.5879,0,8,44,0,200,0,0,0,2.4856,0,0.182575,1752,2654179959
142.036,7.04048,17.5879,0,8,44,0,200,0,0,0,2.4856,0,0.182575,1752,2661218512
