os,cpu,gpu,ram,kernel,driver,cpuscheduler
Fedora Linux 42 (KDE Plasma Desktop Edition),Intel Celeron N5105 @ 2.00GHz,Mesa Intel UHD Graphics ,7952900,6.19.6-100.fc42.x86_64,,powersave
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
18.0856,55.2926,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,105232564
312.537,3.19962,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,108433129
89.8932,11.1243,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,119558404
97.096,10.2991,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,129858122
67.6813,14.7751,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,144636005
69.4901,14.3905,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,159029263
74.0624,13.5021,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,172532486
72.8578,13.7254,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,186257856
80.5524,12.4143,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,198672407
74.5979,13.4052,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,212079732
67.4467,14.8265,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,226908721
84.0387,11.8993,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,238810048
70.5972,14.1649,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,252975514
74.9875,13.3356,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,266315537
74.4788,13.4266,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,279740478
76.2457,13.1155,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,292858874
73.3192,13.639,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,306498227
71.3916,14.0073,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,320509407
79.0664,12.6476,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,333156380
75.0583,13.323,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,346481929
73.808,13.5487,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,360032103
76.3241,13.102,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,373135694
70.4633,14.1918,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,387327279
82.7061,12.091,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,399418143
66.5767,15.0203,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,414442784
76.9611,12.9936,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,427437354
72.2042,13.8496,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,441289422
79.5997,12.5629,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,453853249
70.7802,14.1282,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,467984572
74.4457,13.4326,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,481417624
76.9919,12.9884,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,494408525
72.2224,13.8461,25,0,0,49,0,200,0,0,0,2.90738,0,0.250465,2900,508266136
77.7969,12.854,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,521110737
69.5827,14.3714,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,535483545
73.8955,13.5326,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,549017455
80.2685,12.4582,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,561476795
72.2683,13.8373,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,575317282
79.6736,12.5512,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,587868416
70.6881,14.1467,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,602018433
74.434,13.4347,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,615454528
79.0177,12.6554,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,628110866
68.9129,14.5111,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,642624904
82.6976,12.0923,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,654714713
78.9694,12.6631,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,667378140
71.8079,13.926,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,681305871
70.8851,14.1073,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,695418983
72.9771,13.7029,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,709122353
73.5645,13.5935,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,722718349
79.2056,12.6254,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,735345089
68.8665,14.5208,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,749868867
76.1666,13.1291,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,762999029
78.0325,12.8152,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,775816157
73.9863,13.516,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,789333636
73.2529,13.6513,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,802986609
71.4522,13.9954,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,816983665
74.8504,13.36,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,830345295
75.9155,13.1725,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,843517761
70.3387,14.2169,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,857737073
79.5558,12.5698,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,870307959
75.7364,13.2037,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,883514080
74.2672,13.4649,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,896979536
79.6024,12.5624,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,909544915
70.1973,14.2456,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,923792206
77.8734,12.8413,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,936631960
74.8887,13.3531,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,949989359
68.3945,14.6211,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,964611910
82.263,12.1561,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,976768524
78.1822,12.7906,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,989562318
69.5632,14.3754,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,1003939362
75.1431,13.3079,21.393,0,13,49,0,200,0,0,0,2.93317,0,0.252796,800,1017258171
75.9547,13.1657,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1030414227
80.5805,12.4099,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1042823645
72.6395,13.7666,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1056593290
67.4547,14.8248,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1071418207
87.0602,11.4863,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1082904591
78.2323,12.7824,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1095687942
66.1882,15.1084,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1110801963
75.2608,13.2871,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1124091007
75.8033,13.192,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1137281891
74.1987,13.4773,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1150761493
74.9157,13.3483,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1164111314
73.4076,13.6226,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1177735999
71.908,13.9067,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1191643905
82.6077,12.1054,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1203749775
71.8857,13.911,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1217664766
72.568,13.7802,15.8416,0,22,45,0,200,0,0,0,2.93316,0,0.252796,800,1231446145
